measurement_id,source_id,study_id,block_id,site_id,species_id,taxon_name_entered,measurement,diversity_metric_type,diversity_metric,diversity_metric_unit,metric_is_effort_sensitive,sampling_effort,sampling_effort_unit,rescaled_sampling_effort,measurement_value_standard,measurement_unit_standard,denominator,formula_reported,uncertainty_type,uncertainty_lower,uncertainty_upper,zero_record_interpretation,extraction_page,verification_status
METSP000001,SRC000001,STU000001,,SITE000001,SP000001,东北刺猬 Erinaceus amurensis,relative_abundance_index,,,,yes,30993,camera_days,,0.10,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000002,SRC000001,STU000001,,SITE000001,SP000002,猕猴 Macaca mulatta,relative_abundance_index,,,,yes,30993,camera_days,,0.25,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000003,SRC000001,STU000001,,SITE000001,SP000003,穿山甲 Manis pentadactyla,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000004,SRC000001,STU000001,,SITE000001,SP000004,黄腹鼬 Mustela kathiah,relative_abundance_index,,,,yes,30993,camera_days,,0.15,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000005,SRC000001,STU000001,,SITE000001,SP000005,黄鼬 Mustela sibirica,relative_abundance_index,,,,yes,30993,camera_days,,0.14,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000006,SRC000001,STU000001,,SITE000001,SP000006,鼬獾 Melogale moschata,relative_abundance_index,,,,yes,30993,camera_days,,0.40,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000007,SRC000001,STU000001,,SITE000001,SP000007,猪獾 Arctonyx albogularis,relative_abundance_index,,,,yes,30993,camera_days,,3.91,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000008,SRC000001,STU000001,,SITE000001,SP000008,果子狸 Paguma larvata,relative_abundance_index,,,,yes,30993,camera_days,,2.44,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000009,SRC000001,STU000001,,SITE000001,SP000009,豹猫 Prionailurus bengalensis,relative_abundance_index,,,,yes,30993,camera_days,,0.003,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000010,SRC000001,STU000001,,SITE000001,SP000010,野猪 Sus scrofa,relative_abundance_index,,,,yes,30993,camera_days,,7.37,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000011,SRC000001,STU000001,,SITE000001,SP000011,小麂 Muntiacus reevesi,relative_abundance_index,,,,yes,30993,camera_days,,25.17,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000012,SRC000001,STU000001,,SITE000001,SP000012,梅花鹿 Cervus nippon,relative_abundance_index,,,,yes,30993,camera_days,,5.87,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000013,SRC000001,STU000001,,SITE000001,SP000013,黑麂 Muntiacus crinifrons,relative_abundance_index,,,,yes,30993,camera_days,,1.18,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
METSP000014,SRC000001,STU000001,,SITE000001,SP000014,中华鬣羚 Capricornis milneedwardsii,relative_abundance_index,,,,yes,30993,camera_days,,0.32,independent_records_per_100_camera_days,30993 camera-days,RAI = independent valid photos / all camera-days * 100,,,,,PDF p.4-7; Table 2,candidate
